id,quarter,value,log_value
CH,2016 Q1,469657.653,13.05975931040328
CH,2016 Q2,460617.538,13.040323342065891
CH,2016 Q3,460272.657,13.039574325477385
CH,2016 Q4,439544.503,12.993494249229107
CH,2017 Q1,442440.373,13.000060984068
CH,2017 Q2,458902.54,13.036593135342548
CH,2017 Q3,455944.902,13.03012725224875
CH,2017 Q4,453831.203,13.02548060832942
CH,2018 Q1,460072.335,13.039139006102792
CH,2018 Q2,448286.653,13.013188157226532
CH,2018 Q3,443395.974,13.002218496285508
CH,2018 Q4,453335.97,13.024388785203682
CH,2019 Q1,449497.133,13.015884754675474
CH,2019 Q2,454656.667,13.027297835073817
CH,2019 Q3,454216.746,13.02632977719455
CH,2019 Q4,461050.575,13.041263023119747
CH,2020 Q1,493941.543,13.110172455159942
CH,2020 Q2,499187.78,13.120737616571068
CH,2020 Q3,515951.743,13.153768518772479
CH,2020 Q4,528961.502,13.178670933144945
CH,2021 Q1,522698.246,13.166759609042044
CH,2021 Q2,533519.406,13.187250723945244
CH,2021 Q3,541129.522,13.20141394137372
CH,2021 Q4,553191.652,13.223459788275655
CH,2022 Q1,567657.716,13.249273903383235
CH,2022 Q2,548425.46,13.214806651559092
CH,2022 Q3,526516.896,13.174038701209348
CH,2022 Q4,506834.925,13.135940637840854
CH,2023 Q1,473676.888,13.0682806973479
CH,2023 Q2,479194.892,13.079862666294177
CH,2023 Q3,482763.429,13.087282017614886
CH,2023 Q4,504169.252,13.13066730813976
CH,2024 Q1,497394.217,13.117138183826274
CH,2024 Q2,491673.273,13.105569695607846
CH,2024 Q3,514143.264,13.150257229336466
CH,2024 Q4,504237.377,13.130802422285472
CH,2025 Q1,517369.456,13.156512513361825
GB,2016 Q1,4513850,15.322661005856228
GB,2016 Q2,4612778,15.344340836517405
GB,2016 Q3,4607960,15.343295800764633
GB,2016 Q4,4407844,15.298896238989002
GB,2017 Q1,4484002,15.316026509204418
GB,2017 Q2,4640296,15.350288715271192
GB,2017 Q3,4850182,15.394526787982787
GB,2017 Q4,5064327,15.437731814181088
GB,2018 Q1,5213839,15.46682699459454
GB,2018 Q2,4931555,15.41116491210726
GB,2018 Q3,4840809,15.392592413485348
GB,2018 Q4,4923801,15.409591351172482
GB,2019 Q1,4923884,15.409608207926127
GB,2019 Q2,4952258,15.415354192150954
GB,2019 Q3,4863205,15.397208243545748
GB,2019 Q4,4878544,15.400357372655197
GB,2020 Q1,5244404,15.472672161325422
GB,2020 Q2,4945440,15.413976497847004
GB,2020 Q3,5100203,15.444790900823968
GB,2020 Q4,5421254,15.505837711968656
GB,2021 Q1,5462906,15.513491440566813
GB,2021 Q2,5451913,15.51147711422443
GB,2021 Q3,5415734,15.504818978631054
GB,2021 Q4,5517637,15.523460246890856
GB,2022 Q1,5627477,15.54317176468226
GB,2022 Q2,5461453,15.5132254295343
GB,2022 Q3,5335687,15.489928206686224
GB,2022 Q4,5337596,15.49028592230575
GB,2023 Q1,5442770,15.50979868041476
GB,2023 Q2,5404516,15.502745458329896
GB,2023 Q3,5367395,15.495853246363945
GB,2023 Q4,5591763,15.536805180023393
GB,2024 Q1,5765712,15.56743920796218
GB,2024 Q2,5714227,15.558469587970109
GB,2024 Q3,6013720,15.609554083415492
GB,2024 Q4,5854511,15.582723033165726
GB,2025 Q1,6126711,15.628168622323749
HK,2016 Q1,394111.071,12.884388054643386
HK,2016 Q2,410751.598,12.925743926336256
HK,2016 Q3,442346.246,12.999848216382926
HK,2016 Q4,432805.954,12.978044763351392
HK,2017 Q1,447825.127,13.012158093676184
HK,2017 Q2,456379.108,13.031079120286913
HK,2017 Q3,458572.829,13.035874399940303
HK,2017 Q4,458206.472,13.035075173738093
HK,2018 Q1,484769.091,13.091427955516611
HK,2018 Q2,488150.962,13.098379985357601
HK,2018 Q3,495495.376,13.113313300720746
HK,2018 Q4,503753.303,13.129841949045355
HK,2019 Q1,512492.645,13.147041638672208
HK,2019 Q2,505636.956,13.133574212498026
HK,2019 Q3,490697.217,13.103582550572204
HK,2019 Q4,474156.773,13.069293290718973
HK,2020 Q1,504260.251,13.130847784811607
HK,2020 Q2,513282.144,13.148580961268864
HK,2020 Q3,514202.741,13.150372904410375
HK,2020 Q4,515825.142,13.153523114940555
HK,2021 Q1,513132.618,13.148289605363644
HK,2021 Q2,523222.662,13.167762392407276
HK,2021 Q3,537195.383,13.194117149029879
HK,2021 Q4,534898.91,13.189833054753198
HK,2022 Q1,541676.451,13.20242414829934
HK,2022 Q2,544407.648,13.207453598154524
HK,2022 Q3,554843.053,13.226440565349291
HK,2022 Q4,553206.418,13.223486480296186
HK,2023 Q1,537226.745,13.19417552831897
HK,2023 Q2,569547.218,13.252596969758144
HK,2023 Q3,589568.597,13.287146356905575
HK,2023 Q4,570663.755,13.254555444783072
HK,2024 Q1,612277.729,13.32494126411142
HK,2024 Q2,597195.097,13.299999134633564
HK,2024 Q3,607751.384,13.317521169427936
HK,2024 Q4,596815.337,13.299363026268024
HK,2025 Q1,610690.157,13.322345001511335
IE,2016 Q1,327505.93,12.699261440763745
IE,2016 Q2,311258.594,12.648379337624851
IE,2016 Q3,305244.966,12.628869900436476
IE,2016 Q4,285765.589,12.56292713484967
IE,2017 Q1,284195.077,12.557416172186871
IE,2017 Q2,292605.189,12.58657950151891
IE,2017 Q3,302782.797,12.620770985853568
IE,2017 Q4,291589.891,12.583103611163176
IE,2018 Q1,302603.141,12.620177460322177
IE,2018 Q2,288419.606,12.572171664051748
